t_len,rmse,mean,median,std,min,max
6,0.008589211710652576,0.007161755949412798,0.004426924170375884,0.0047417095578980535,0.0030450825079975856,0.014696774888731565
7,0.005114101455961721,0.004219620989865342,0.002370304937056844,0.0028894346166261704,0.0015488590823016428,0.008592152931662187
8,0.004034804743675136,0.003706760461614787,0.003629194949958335,0.0015936047815542941,0.0011575731283429613,0.006773963425983844
11,0.00965029031219745,0.00837580311301017,0.007206000742245082,0.004793122710903726,0.002639414331207566,0.01779416641611581
8,0.0051185010288131464,0.0044477037146265705,0.004158356591445823,0.0025331767504179906,0.0012363505397897454,0.010028582005066202
5,0.010088635227274226,0.009614760054526054,0.009057229565299378,0.0030556422962919895,0.0067467444362257975,0.015288977410205969
6,0.004776885785205645,0.004275610433430148,0.0036127679217277894,0.0021302096672494494,0.0012206751031542432,0.007748224829381525
5,0.00995277821235301,0.009504220890629703,0.009743267235526928,0.0029542476887368025,0.005552942872932891,0.012948704360414263
8,0.0038871784694196505,0.0032854491759596836,0.002489725346684649,0.0020774937220857095,0.0012784173158540237,0.007916365405189531
10,0.008974557547028467,0.007902018694061375,0.006799243221779854,0.004254501583456072,0.0021952609767620385,0.016376575738649292
